"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_memory_copy",3,3759532,1253177,53.22059355426876
"hsa_queue_create",1,1989117,1989117,28.158288688295887
"hsa_queue_destroy",1,792612,792612,11.220354314908363
"hsa_executable_load_agent_code_object",1,129571,129571,1.8342297731260586
"hsa_amd_memory_pool_allocate",4,78856,19714,1.1162993493114082
"hsa_executable_freeze",1,64350,64350,0.9109498722759095
"hsa_signal_wait_scacquire",2,64158,32079,0.9082318866430117
"hsa_executable_destroy",1,38020,38020,0.5382177800144534
"hsa_memory_free",4,29867,7466,0.4228024838424956
"hsa_signal_store_relaxed",1,25479,25479,0.36068518719064335
"hsa_amd_agents_allow_access",4,23300,5825,0.32983888149228735
"hsa_code_object_reader_create_from_memory",1,20094,20094,0.28445418389296234
"hsa_iterate_agents",1,19871,19871,0.2812973568297529
"hsa_executable_create",1,7067,7067,0.1000416899358796
"hsa_signal_create",2,5772,2886,0.08170944308899067
"hsa_signal_destroy",2,5422,2711,0.07675478177902069
"hsa_amd_agent_iterate_memory_pools",2,5362,2681,0.07590541126874012
"hsa_agent_get_info",5,1737,347,0.024589276272622453
"hsa_amd_memory_pool_get_info",9,1522,169,0.02154569861078375
"hsa_executable_get_symbol_by_name",1,961,961,0.013604084339660436
"hsa_queue_add_write_index_screlease",1,427,427,0.006044686798163378
"hsa_executable_symbol_get_info",4,417,104,0.00590312504644995
"hsa_code_object_reader_destroy",1,282,282,0.0039920413983186714
"hsa_queue_load_read_index_scacquire",1,259,259,0.0036664493693777866
"hsa_dispatch",1,0,0,0.0
